merchant_id,nombre_comercio,segmento_comercial,tipo_negocio_ciiu,tipo_negocio_desc,fecha_onboarding,fecha_ultima_transaccion,region,ciudad,latitud,longitud,ejecutivo_cuenta
DEU-45F66F3D,Tía Manuelito Plus,Micro,G4711.01,Tiendas de abarrotes y víveres,2025-12-09,2026-03-16,El Oro,Machala,-3.322779,-79.995541,Mateo Pérez
DEU-9CD39FD0,Doña Beto,Micro,C1071.01,Panaderías y pastelerías,2023-11-27,2026-03-27,Pichincha,Quito,-0.242623,-78.496582,Auto-gestionado
DEU-FB07771A,El Segundo,Micro,I5610.01,Restaurantes y picanterías,2023-09-10,2026-03-27,Pichincha,Quito,-0.170539,-78.567755,Auto-gestionado
DEU-19491B20,Farmacia Salud,Micro,G4774.01,Farmacias y artículos médicos,2023-03-31,2026-03-14,Pichincha,Quito,-0.233719,-78.479518,Fernanda Ortiz
DEU-BF2DB0FB,Farmacia Central Plus,Micro,G4774.01,Farmacias y artículos médicos,2023-11-27,2026-03-27,Pichincha,Quito,-0.233435,-78.467485,Auto-gestionado
DEU-1054C83F,Super Mayra,Mediana,I5610.01,Restaurantes y picanterías,2022-09-23,2026-03-25,Guayas,Guayaquil,-2.142329,-79.903602,Esteban Ruiz
DEU-A4C11302,Super Chabela Plus,Micro,G4773.01,Bazares y papelerías,2024-09-10,2026-03-02,Morona Santiago,Macas,-2.343924,-78.089542,Auto-gestionado
DEU-B4AEC648,Coop. Los Andes Plus,Micro,H4922.01,"Transporte (taxis, cooperativas)",2025-06-18,2026-03-21,Pichincha,Quito,-0.238324,-78.489395,Lorena Dávila
DEU-3BD442B6,Tío Chabela Mini,Micro,I5610.03,Bares y cantinas,2024-10-25,2026-03-19,Guayas,Guayaquil,-2.19944,-79.87791,Auto-gestionado
DEU-B34C1A8F,Doña Martita,Micro,G4719.01,Comercio mixto (bazar + abarrote),2023-05-08,2026-03-12,Pichincha,Quito,-0.159909,-78.405254,Iván Moreno
DEU-801DF294,Tío Juanito,Pequeña,C1071.01,Panaderías y pastelerías,2023-12-09,2026-02-05,Guayas,Guayaquil,-2.1282,-79.83297,Carlos Mendoza
DEU-3CDFF0F9,Boutique Pedrito,Micro,G4771.01,Boutiques y ropa,2024-03-27,2026-03-26,Pichincha,Quito,-0.276004,-78.415276,Iván Moreno
DEU-82105BD4,Farmacia Salud,Micro,G4774.01,Farmacias y artículos médicos,2023-03-30,2026-02-05,Los Ríos,Babahoyo,-1.821531,-79.594499,Auto-gestionado
DEU-A1ECC98C,Coop. 24 de Mayo Mini,Micro,H4922.01,"Transporte (taxis, cooperativas)",2023-03-13,2026-03-12,Esmeraldas,Esmeraldas,1.177954,-79.646399,Auto-gestionado
DEU-A59DB6D0,El Rosita,Micro,G4711.01,Tiendas de abarrotes y víveres,2021-11-15,2026-03-23,Pichincha,Quito,-0.198577,-78.41068,Diana Cárdenas
DEU-528B4107,El Juanito Express,Micro,I5610.01,Restaurantes y picanterías,2023-05-16,2026-03-24,Morona Santiago,Macas,-2.35725,-78.184882,Diana Cárdenas
DEU-1FCCB7AB,El Beto Market,Micro,S9602.01,Peluquerías y salones de belleza,2024-09-11,2026-03-13,Azuay,Cuenca,-2.815506,-79.001791,Auto-gestionado
DEU-8AD52343,El Fanny Express,Micro,G4773.01,Bazares y papelerías,2024-08-25,2026-03-13,Guayas,Guayaquil,-2.129696,-79.614181,Mateo Pérez
DEU-B53621BC,Farmacia Vida Plus,Micro,G4774.01,Farmacias y artículos médicos,2023-02-26,2026-01-30,Santo Domingo,Santo Domingo,-0.101236,-79.225364,Kevin Jaramillo
DEU-789737D7,Super Jorgito Mini,Micro,G4773.01,Bazares y papelerías,2024-10-08,2026-03-28,Pichincha,Quito,-0.25215,-78.494585,Auto-gestionado
DEU-8F91CC3E,La Fanny,Micro,I5630.01,Cafeterías y panaderías,2024-12-22,2026-03-21,Pichincha,Quito,-0.009184,-78.417086,Auto-gestionado
DEU-9B495BF2,El Beto,Micro,I5610.02,Comida rápida y food trucks,2022-02-26,2026-03-27,Loja,Loja,-4.069646,-79.078396,Auto-gestionado
DEU-BAE01575,El Gladys Mini,Micro,I5610.01,Restaurantes y picanterías,2023-04-01,2026-03-25,Tungurahua,Ambato,-1.079228,-78.534103,Jimena Salazar
DEU-764435D8,Doña Manuelito Mini,Micro,G4711.01,Tiendas de abarrotes y víveres,2023-06-19,2026-03-16,Guayas,Guayaquil,-2.114973,-79.874408,Auto-gestionado
DEU-C605B191,La Manuelito Express,Micro,I5610.01,Restaurantes y picanterías,2024-08-12,2026-02-16,Cañar,Azogues,-2.483637,-78.841467,Mateo Pérez
DEU-49FEB475,Farmacia Vida,Pequeña,G4774.01,Farmacias y artículos médicos,2023-07-18,2026-02-17,Azuay,Cuenca,-2.820799,-79.067791,Diana Cárdenas
DEU-94680BF5,La Manuelito,Micro,G4711.01,Tiendas de abarrotes y víveres,2023-01-15,2026-03-17,Chimborazo,Riobamba,-1.734146,-78.71065,Auto-gestionado
DEU-2D268774,Boutique Pancho Mini,Micro,G4771.01,Boutiques y ropa,2023-09-10,2026-03-25,Manabí,Portoviejo,-1.153658,-80.518472,Iván Moreno
DEU-A339B86E,Mi Beto Express,Micro,I5610.01,Restaurantes y picanterías,2026-02-24,2026-03-24,El Oro,Machala,-3.213961,-80.01221,Auto-gestionado
DEU-4D315747,Super Mayra,Micro,I5610.03,Bares y cantinas,2024-10-02,2026-03-30,Imbabura,Ibarra,0.334286,-78.034398,Oswaldo Ñacato
DEU-DE1DE2AC,Tío Martita Express,Micro,I5610.01,Restaurantes y picanterías,2024-06-25,2026-03-21,Guayas,Guayaquil,-2.139537,-79.932362,Auto-gestionado
DEU-8519DD43,Farmacia Central Plus,Micro,G4774.01,Farmacias y artículos médicos,2026-02-18,2026-02-19,Pichincha,Quito,-0.208107,-78.447855,Natalia Rosales
DEU-513C7AA0,Mi Juanito Mini,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-01-31,2026-03-13,Guayas,Guayaquil,-2.121793,-79.81377,Auto-gestionado
DEU-DEEF4E22,Tía Fanny Plus,Micro,G4711.01,Tiendas de abarrotes y víveres,2026-02-06,2026-02-28,Chimborazo,Riobamba,-1.779347,-78.767297,Auto-gestionado
DEU-1785AB95,Farmacia Sana Express,Micro,G4774.01,Farmacias y artículos médicos,2022-06-29,2026-03-31,Pichincha,Quito,-0.112087,-78.480595,Auto-gestionado
DEU-98729F59,Doña Pancho Mini,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-12-17,2026-03-24,Pichincha,Quito,-0.079009,-78.406131,Auto-gestionado
DEU-0CAA0FE2,Tía Nelly Market,Micro,S9601.01,Lavanderías y tintorerías,2021-03-20,2026-02-07,Santo Domingo,Santo Domingo,-0.234473,-79.170293,Auto-gestionado
DEU-A1040405,Super Pedrito Mini,Micro,I5610.02,Comida rápida y food trucks,2025-01-20,2026-03-27,Manabí,Portoviejo,-0.958567,-80.307213,Iván Moreno
DEU-B86710B1,Mi Anita Market,Micro,I5610.01,Restaurantes y picanterías,2023-03-25,2026-03-27,Guayas,Guayaquil,-2.133882,-80.005668,Auto-gestionado
DEU-5301015B,Don Nelly Express,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-04-08,2026-03-29,Pichincha,Quito,-0.232326,-78.595849,Auto-gestionado
DEU-20D2EB12,Farmacia Central,Micro,G4774.01,Farmacias y artículos médicos,2022-05-30,2026-03-09,Santa Elena,Santa Elena,-2.215336,-80.775327,Auto-gestionado
DEU-F61C7697,Mi Fanny,Micro,G4721.01,Fruterías y mercados,2024-01-24,2026-03-31,Napo,Tena,-0.901217,-77.845201,Auto-gestionado
DEU-0C8BB220,Boutique Manuelito Express,Micro,G4771.01,Boutiques y ropa,2025-09-06,2026-03-12,Pichincha,Quito,-0.049591,-78.449781,Diana Cárdenas
DEU-876D9508,La Beto,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-09-02,2026-03-17,Pichincha,Quito,-0.171076,-78.426645,Auto-gestionado
DEU-9208E18D,Tía Mayra Plus,Micro,I5630.01,Cafeterías y panaderías,2025-08-23,2026-03-19,Pichincha,Quito,-0.171511,-78.343699,Jimena Salazar
DEU-944B7D89,Tío Segundo,Micro,I5610.02,Comida rápida y food trucks,2026-01-18,2026-03-17,Azuay,Cuenca,-2.852601,-78.908875,Carlos Mendoza
DEU-567852AA,Super Juanito,Micro,I5610.02,Comida rápida y food trucks,2024-10-13,2026-03-24,Azuay,Cuenca,-2.921653,-78.948497,Auto-gestionado
DEU-586D9E69,Tía Anita,Pequeña,G4711.01,Tiendas de abarrotes y víveres,2023-06-17,2026-02-01,Los Ríos,Babahoyo,-1.802636,-79.49438,Fernanda Ortiz
DEU-1A061BAF,Farmacia Sana Market,Micro,G4774.01,Farmacias y artículos médicos,2023-08-01,2026-03-24,Guayas,Guayaquil,-2.132092,-80.087402,Auto-gestionado
DEU-C0DC82B7,Super Kléber Express,Micro,I5610.02,Comida rápida y food trucks,2025-09-13,2026-03-28,Pichincha,Quito,-0.177204,-78.381905,Carlos Mendoza
DEU-85B588B5,Tío Kléber Center,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-05-13,2026-03-21,Pichincha,Quito,-0.189262,-78.550619,Auto-gestionado
DEU-7FD5E3F3,La Gladys,Micro,S9602.01,Peluquerías y salones de belleza,2024-03-08,2026-03-28,Pichincha,Quito,-0.112592,-78.517429,Auto-gestionado
DEU-12BB4096,Tío Pedrito,Micro,I5610.01,Restaurantes y picanterías,2020-09-09,2026-03-13,Guayas,Guayaquil,-2.039303,-79.942323,Oswaldo Ñacato
DEU-A625F3FF,Super Gladys,Micro,C1071.01,Panaderías y pastelerías,2022-09-26,2026-03-28,El Oro,Machala,-3.351681,-80.088127,Auto-gestionado
DEU-6262D252,Super Segundo Mini,Micro,I5630.01,Cafeterías y panaderías,2023-05-10,2026-03-16,Chimborazo,Riobamba,-1.719704,-78.750161,Auto-gestionado
DEU-AE484008,Farmacia Sana Market,Micro,G4774.01,Farmacias y artículos médicos,2023-05-03,2026-02-25,Azuay,Cuenca,-2.781745,-78.847009,Auto-gestionado
DEU-2339F1EE,Don Beto Mini,Micro,I5610.01,Restaurantes y picanterías,2023-11-06,2026-03-30,Pichincha,Quito,-0.230067,-78.568507,Iván Moreno
DEU-96BF284B,El Gladys,Micro,I5630.01,Cafeterías y panaderías,2022-05-25,2026-02-07,Esmeraldas,Esmeraldas,0.980837,-79.657919,Gabriel Aguilar
DEU-93AD6424,Doña Pedrito Center,Micro,G4721.01,Fruterías y mercados,2024-06-22,2026-03-04,Orellana,Coca,-0.421893,-76.919155,Auto-gestionado
DEU-F06E319C,Tía Pedrito Plus,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-10-07,2026-03-30,Sucumbíos,Nueva Loja,0.101669,-76.75218,Auto-gestionado
DEU-08120066,Farmacia Central,Micro,G4774.01,Farmacias y artículos médicos,2024-07-19,2026-03-28,Santa Elena,Santa Elena,-2.286538,-81.029404,Auto-gestionado
DEU-1B9AC2C2,La Manuelito Market,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-10-16,2026-03-30,Pichincha,Quito,-0.186434,-78.549705,Mateo Pérez
DEU-C64F7C04,El Gladys,Micro,G4721.01,Fruterías y mercados,2024-11-03,2026-03-29,Bolívar,Guaranda,-1.583573,-79.015454,Oswaldo Ñacato
DEU-5886C52F,Super Beto,Micro,G4711.01,Tiendas de abarrotes y víveres,2025-05-15,2026-03-18,Loja,Loja,-3.955628,-79.31459,Auto-gestionado
DEU-24E202EE,La Martita Market,Micro,G4719.01,Comercio mixto (bazar + abarrote),2023-07-30,2026-03-25,Guayas,Guayaquil,-2.114266,-79.745724,Auto-gestionado
DEU-04124053,Tía Mayra Mini,Micro,I5610.01,Restaurantes y picanterías,2023-09-23,2026-03-14,Azuay,Cuenca,-3.083225,-78.891301,Auto-gestionado
DEU-3B260E45,Super Mayra Mini,Micro,G4721.01,Fruterías y mercados,2024-02-22,2026-03-28,Santo Domingo,Santo Domingo,-0.186148,-79.090508,Fernanda Ortiz
DEU-6CB83938,Don Mayra,Micro,G4773.01,Bazares y papelerías,2024-02-24,2026-03-28,Santo Domingo,Santo Domingo,-0.27399,-79.249601,Carlos Mendoza
DEU-7D3CDC6A,Farmacia Central Market,Micro,G4774.01,Farmacias y artículos médicos,2026-02-11,2026-03-25,Pichincha,Quito,-0.123252,-78.342392,Auto-gestionado
DEU-4172CA40,El Anita Market,Micro,S9602.01,Peluquerías y salones de belleza,2024-08-04,2026-03-30,Guayas,Guayaquil,-2.192407,-79.957589,Fernanda Ortiz
DEU-17B96FB0,El Jorgito Express,Micro,G4711.01,Tiendas de abarrotes y víveres,2023-09-26,2026-02-19,Cotopaxi,Latacunga,-0.784838,-78.507866,Hilda Proaño
DEU-9D62390D,El Segundo Plus,Micro,G4711.01,Tiendas de abarrotes y víveres,2023-04-24,2026-03-28,Pichincha,Quito,-0.147193,-78.498943,Auto-gestionado
DEU-B7D90129,Doña Fanny Market,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-05-31,2026-03-02,Guayas,Guayaquil,-2.132874,-79.816893,Hilda Proaño
DEU-2E62D6D1,El Fanny,Micro,I5610.02,Comida rápida y food trucks,2022-03-06,2026-03-21,Guayas,Guayaquil,-2.191667,-80.042651,Auto-gestionado
DEU-B77710C7,Farmacia Central Mini,Micro,G4774.01,Farmacias y artículos médicos,2025-03-05,2026-03-23,Cotopaxi,Latacunga,-1.016775,-78.574166,Auto-gestionado
DEU-65484A30,Farmacia Salud,Micro,G4774.01,Farmacias y artículos médicos,2022-11-23,2026-03-28,Zamora Chinchipe,Zamora,-4.067186,-78.95863,Auto-gestionado
DEU-E1004102,Farmacia Sana,Micro,G4774.01,Farmacias y artículos médicos,2023-05-26,2026-03-19,Pichincha,Quito,-0.069613,-78.680548,Auto-gestionado
DEU-5A8689D1,Doña Carmita Market,Pequeña,I5610.03,Bares y cantinas,2024-05-29,2026-03-31,Pichincha,Quito,-0.251076,-78.506691,Mateo Pérez
DEU-52638CE7,Mi Jorgito,Micro,I5610.02,Comida rápida y food trucks,2022-07-04,2026-03-18,Chimborazo,Riobamba,-1.793302,-78.627421,Auto-gestionado
DEU-BD150EFC,Farmacia Central Express,Pequeña,G4774.01,Farmacias y artículos médicos,2025-09-13,2026-03-07,Azuay,Cuenca,-2.857002,-78.97473,Esteban Ruiz
DEU-9A8DADC7,Super Juanito Center,Micro,I5610.02,Comida rápida y food trucks,2024-09-25,2026-03-03,Cañar,Azogues,-2.786875,-78.86877,Auto-gestionado
DEU-B18C9702,Boutique Fanny Center,Micro,G4771.01,Boutiques y ropa,2023-10-28,2026-03-25,Santo Domingo,Santo Domingo,-0.234219,-79.111462,Auto-gestionado
DEU-E326C6B0,Coop. 24 de Mayo Center,Micro,H4922.01,"Transporte (taxis, cooperativas)",2022-12-21,2026-03-09,Chimborazo,Riobamba,-1.587523,-78.683579,Auto-gestionado
DEU-C452B231,Don Anita,Mediana,I5610.02,Comida rápida y food trucks,2024-09-27,2026-03-13,Azuay,Cuenca,-2.901707,-79.039468,Jimena Salazar
DEU-9F6F1C84,El Gladys Center,Micro,G4773.01,Bazares y papelerías,2022-04-10,2026-03-31,Pichincha,Quito,-0.179225,-78.439993,Fernanda Ortiz
DEU-F1A6392F,Don Anita Center,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-02-08,2026-03-29,Loja,Loja,-4.013418,-79.417557,Auto-gestionado
DEU-CB7D7E52,El Pancho Center,Micro,I5610.01,Restaurantes y picanterías,2024-11-01,2026-03-24,Pichincha,Quito,-0.188609,-78.283963,Oswaldo Ñacato
DEU-6EE42930,Doña Carmita Mini,Micro,G4721.01,Fruterías y mercados,2022-05-22,2026-03-26,Pichincha,Quito,-0.165759,-78.528231,Auto-gestionado
DEU-A1E2A498,Farmacia Salud Plus,Micro,G4774.01,Farmacias y artículos médicos,2025-11-07,2026-03-28,El Oro,Machala,-3.091595,-79.979764,Auto-gestionado
DEU-0946BFF3,Doña Fanny,Micro,G4711.01,Tiendas de abarrotes y víveres,2023-10-08,2026-03-30,Pichincha,Quito,0.024107,-78.475485,Auto-gestionado
DEU-04166906,Boutique Martita,Micro,G4771.01,Boutiques y ropa,2025-12-05,2026-03-14,El Oro,Machala,-3.382736,-79.987431,Auto-gestionado
DEU-10E37E89,La Pedrito Plus,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-07-17,2026-03-01,Azuay,Cuenca,-2.906055,-78.956246,Fernanda Ortiz
DEU-B5AA0277,Super Carmita Express,Micro,S9602.01,Peluquerías y salones de belleza,2021-06-03,2026-03-31,Imbabura,Ibarra,0.460088,-78.040009,Auto-gestionado
DEU-337A8B48,Super Kléber Market,Micro,I5610.02,Comida rápida y food trucks,2024-03-11,2026-03-30,Galápagos,Puerto Ayora,-0.802235,-90.342317,Auto-gestionado
DEU-5BC40374,Mi Beto Market,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-08-25,2026-03-25,Loja,Loja,-3.899369,-79.428299,Auto-gestionado
DEU-C4A2DED5,Tío Nelly,Pequeña,I5630.01,Cafeterías y panaderías,2024-10-20,2026-03-20,Guayas,Guayaquil,-2.274901,-79.986607,Gabriel Aguilar
DEU-9A7E8406,Tío Segundo Express,Micro,C1071.01,Panaderías y pastelerías,2021-10-08,2026-03-31,Guayas,Guayaquil,-2.278857,-79.87556,Natalia Rosales
DEU-18766EF5,El Segundo Mini,Pequeña,G4711.01,Tiendas de abarrotes y víveres,2023-05-25,2026-03-30,Guayas,Guayaquil,-2.041015,-79.954919,Paola Intriago
DEU-B8829CD5,Tía Anita Market,Micro,I5610.01,Restaurantes y picanterías,2023-04-18,2026-03-28,Guayas,Guayaquil,-2.194929,-79.986783,Auto-gestionado
DEU-6BEA63B0,Tío Fanny Market,Mediana,I5610.02,Comida rápida y food trucks,2022-12-12,2026-03-08,Pichincha,Quito,-0.141937,-78.492759,Lorena Dávila
DEU-55A8A8D4,Doña Chabela,Mediana,C1071.01,Panaderías y pastelerías,2025-11-12,2026-03-30,Azuay,Cuenca,-2.879311,-79.00071,Iván Moreno
DEU-9F63EFA0,Farmacia Central Market,Micro,G4774.01,Farmacias y artículos médicos,2022-03-22,2026-03-28,Cañar,Azogues,-2.864197,-78.842283,Gabriel Aguilar
DEU-5134B06C,Doña Lucho Market,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-04-04,2026-03-21,Loja,Loja,-3.807764,-79.17373,Auto-gestionado
DEU-32572D66,Don Pedrito,Micro,I5610.02,Comida rápida y food trucks,2021-10-24,2026-03-02,Zamora Chinchipe,Zamora,-3.958038,-78.902013,Auto-gestionado
DEU-745F1F4B,Doña Mayra Center,Micro,I5610.02,Comida rápida y food trucks,2025-11-08,2026-03-27,Guayas,Guayaquil,-2.176422,-79.937406,Auto-gestionado
DEU-EA813DB9,Tío Kléber Market,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-11-22,2026-01-19,Pichincha,Quito,-0.136615,-78.46469,Auto-gestionado
DEU-6759CE89,Super Martita Market,Micro,G4719.01,Comercio mixto (bazar + abarrote),2024-11-11,2026-03-12,Santo Domingo,Santo Domingo,-0.1032,-79.105661,Auto-gestionado
DEU-E867DB03,Tío Jorgito Express,Micro,G4711.01,Tiendas de abarrotes y víveres,2022-12-05,2026-03-30,Santo Domingo,Santo Domingo,-0.289561,-79.247326,Auto-gestionado
DEU-11A4EA15,Tía Manuelito,Pequeña,S9601.01,Lavanderías y tintorerías,2021-09-06,2026-03-28,Pichincha,Quito,-0.12869,-78.472538,Hilda Proaño
DEU-4828C721,Doña Lucho,Micro,G4773.01,Bazares y papelerías,2023-08-13,2026-01-31,Pichincha,Quito,-0.198757,-78.467527,Auto-gestionado
DEU-FB49C544,Tío Gladys,Micro,I5630.01,Cafeterías y panaderías,2024-07-16,2026-02-10,Pichincha,Quito,-0.205322,-78.450268,Auto-gestionado
DEU-0B1A9CC1,Mi Martita,Pequeña,G4711.01,Tiendas de abarrotes y víveres,2020-10-10,2026-03-13,Manabí,Portoviejo,-1.045823,-80.432074,Gabriel Aguilar
DEU-D8A51105,Super Rosita Express,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-05-20,2026-03-30,Tungurahua,Ambato,-1.087368,-78.67589,Paola Intriago
DEU-F9C444DF,Boutique Chabela Market,Micro,G4771.01,Boutiques y ropa,2025-06-30,2026-03-22,Guayas,Guayaquil,-2.306979,-79.954919,Auto-gestionado
DEU-9142F4F3,Doña Rosita Center,Micro,I5610.01,Restaurantes y picanterías,2024-04-09,2026-02-14,Loja,Loja,-3.988396,-79.256426,Auto-gestionado
DEU-4552B637,Doña Beto Plus,Pequeña,I5610.02,Comida rápida y food trucks,2023-12-25,2026-03-24,Guayas,Guayaquil,-2.232263,-79.839393,Mateo Pérez
DEU-2032515F,El Mayra,Micro,G4711.01,Tiendas de abarrotes y víveres,2024-06-21,2026-03-20,El Oro,Machala,-3.225879,-79.900211,Auto-gestionado
DEU-26843DC0,Tío Anita,Micro,G4711.01,Tiendas de abarrotes y víveres,2021-08-23,2026-03-26,Pichincha,Quito,-0.050578,-78.666304,Kevin Jaramillo
DEU-75E770D0,El Pedrito Center,Micro,I5630.01,Cafeterías y panaderías,2022-06-28,2026-03-31,Manabí,Portoviejo,-1.108711,-80.308425,Auto-gestionado
DEU-0CA3CB4F,Mi Kléber Plus,Micro,I5610.01,Restaurantes y picanterías,2020-12-07,2026-03-22,Pichincha,Quito,-0.202852,-78.469831,Auto-gestionado
DEU-89DBF5D2,Tío Carmita Market,Micro,C1071.01,Panaderías y pastelerías,2022-12-26,2026-03-29,Guayas,Guayaquil,-2.248258,-79.926217,Auto-gestionado
DEU-C3400C7B,Farmacia del Barrio,Micro,G4774.01,Farmacias y artículos médicos,2023-01-13,2026-03-30,Manabí,Portoviejo,-1.124705,-80.449487,Auto-gestionado
DEU-83A883EF,Boutique Jorgito,Micro,G4771.01,Boutiques y ropa,2022-02-08,2026-03-16,Pichincha,Quito,-0.226394,-78.421993,Gabriel Aguilar
DEU-36E81932,Tío Jorgito,Micro,S9602.01,Peluquerías y salones de belleza,2025-09-23,2026-03-09,Azuay,Cuenca,-2.870343,-79.019655,Auto-gestionado
DEU-48BED794,Farmacia Salud Market,Micro,G4774.01,Farmacias y artículos médicos,2023-01-15,2026-03-29,Guayas,Guayaquil,-2.062782,-79.885269,Auto-gestionado
DEU-C4A9E4F0,Tío Lucho Market,Micro,S9602.01,Peluquerías y salones de belleza,2023-06-21,2026-03-11,El Oro,Machala,-3.068615,-79.989323,Fernanda Ortiz
DEU-F899E3DA,Farmacia Salud,Micro,G4774.01,Farmacias y artículos médicos,2026-02-18,2026-03-16,Manabí,Portoviejo,-1.129257,-80.392234,Auto-gestionado
DEU-07C87F2E,Mi Kléber Mini,Micro,G4711.01,Tiendas de abarrotes y víveres,2025-11-05,2026-03-11,Tungurahua,Ambato,-1.26959,-78.750187,Auto-gestionado
DEU-F72C7484,Tío Lucho Plus,Micro,G4541.01,Venta y repuestos de motos,2024-06-26,2026-02-28,Guayas,Guayaquil,-2.295845,-79.762261,Gabriel Aguilar
DEU-6802142A,Tía Rosita Mini,Mediana,I5610.01,Restaurantes y picanterías,2023-11-01,2026-03-27,Manabí,Portoviejo,-1.086531,-80.491219,Kevin Jaramillo
DEU-2840AF29,Doña Juanito Express,Pequeña,G4711.01,Tiendas de abarrotes y víveres,2023-03-31,2026-03-01,Tungurahua,Ambato,-1.23281,-78.631274,Paola Intriago
DEU-45FD903D,Mi Fanny Center,Micro,S9602.01,Peluquerías y salones de belleza,2023-05-26,2026-03-02,Azuay,Cuenca,-2.878643,-79.062989,Auto-gestionado
DEU-05888B97,La Nelly,Micro,I5610.01,Restaurantes y picanterías,2025-07-07,2026-03-25,Azuay,Cuenca,-2.961456,-79.066712,Auto-gestionado
DEU-A67C20E7,Doña Segundo Express,Micro,I5610.02,Comida rápida y food trucks,2023-05-11,2026-03-24,Manabí,Portoviejo,-1.007579,-80.443288,Auto-gestionado
DEU-10A1650D,Coop. Trans Vencedores,Micro,H4922.01,"Transporte (taxis, cooperativas)",2025-08-25,2026-03-20,Guayas,Guayaquil,-2.208317,-79.779108,Auto-gestionado
DEU-DCFC4E61,Mi Kléber Market,Micro,I5610.01,Restaurantes y picanterías,2022-03-07,2026-03-30,Napo,Tena,-0.981566,-77.853414,Auto-gestionado
DEU-EF86A98B,Don Gladys,Micro,I5610.01,Restaurantes y picanterías,2020-10-24,2026-02-05,Azuay,Cuenca,-2.742366,-79.022951,Auto-gestionado
DEU-AFA62495,Super Chabela Center,Micro,I5610.01,Restaurantes y picanterías,2022-02-22,2026-02-17,Pichincha,Quito,-0.265945,-78.460456,Iván Moreno
DEU-751E1119,Boutique Mayra,Micro,G4771.01,Boutiques y ropa,2022-09-10,2026-03-04,Sucumbíos,Nueva Loja,0.170247,-76.902017,Kevin Jaramillo
DEU-2626B609,Tía Nelly Plus,Micro,G4773.01,Bazares y papelerías,2022-10-17,2026-02-22,Pichincha,Quito,-0.150828,-78.427239,Auto-gestionado
DEU-A223FDFC,Tío Pedrito,Micro,S9602.01,Peluquerías y salones de belleza,2022-08-09,2026-03-26,Santa Elena,Santa Elena,-2.374775,-80.782823,Jimena Salazar
DEU-09EEA360,Farmacia Sana Plus,Micro,G4774.01,Farmacias y artículos médicos,2023-04-30,2026-03-15,Santo Domingo,Santo Domingo,-0.207248,-79.142856,Carlos Mendoza
