ticket_id,merchant_id,fecha_apertura,fecha_cierre,categoria,severidad,estado,tiempo_resolucion_hrs,satisfaccion_post_cierre
TKT-A9E2AC865F,DEU-00FE2FBF,2025-12-27 12:21:00,2025-12-30 07:21:00,liquidacion_demora,5,resuelto,67.0,1.0
TKT-AB7447E55C,DEU-00FE2FBF,2025-12-30 12:56:00,2026-01-07 07:08:00,pago_rechazado,3,resuelto,186.2,1.0
TKT-D2F5688F5F,DEU-00FE2FBF,2026-01-11 09:09:00,,app_congelada,3,abierto,,
TKT-04EF96C6CA,DEU-00FE2FBF,2026-01-21 14:49:00,,pago_rechazado,3,abierto,,
TKT-A91F6356B1,DEU-00FE2FBF,2026-01-28 20:51:00,2026-02-01 09:33:00,cierre_caja,4,resuelto,84.7,
TKT-82EEC5A7DC,DEU-00FE2FBF,2026-02-02 12:38:00,2026-02-06 22:02:00,liquidacion_demora,3,resuelto,105.4,1.0
TKT-05E227FFFE,DEU-00FE2FBF,2026-02-03 20:59:00,,liquidacion_demora,4,en_proceso,,
TKT-64C9EBCBE0,DEU-00FE2FBF,2026-02-11 21:25:00,2026-02-20 20:43:00,roles_vendedor,2,resuelto,215.3,1.0
TKT-C1E2F81C86,DEU-00FE2FBF,2026-02-16 17:34:00,,pago_rechazado,4,abierto,,
TKT-04637179F6,DEU-00FE2FBF,2026-02-19 10:50:00,,facturacion_comisiones,2,abierto,,
TKT-579D65B907,DEU-00FE2FBF,2026-02-20 09:23:00,2026-02-26 00:29:00,pago_rechazado,1,resuelto,135.1,1.0
TKT-AF11D8E6E1,DEU-00FE2FBF,2026-02-21 07:43:00,,pago_rechazado,3,en_proceso,,
TKT-A4EDB4DCE2,DEU-00FE2FBF,2026-02-21 14:34:00,,cierre_caja,3,abierto,,
TKT-A6A1D9E1AE,DEU-00FE2FBF,2026-02-27 15:58:00,,liquidacion_demora,4,abierto,,
TKT-35BD836885,DEU-011A0B05,2025-05-15 07:32:00,,app_congelada,3,en_proceso,,
TKT-8B966EDD24,DEU-011A0B05,2026-01-13 07:28:00,,app_congelada,3,abierto,,
TKT-BEFE22A78B,DEU-01263F6A,2025-07-12 12:29:00,,app_congelada,3,escalado,,
TKT-9C980F7626,DEU-01263F6A,2025-08-20 17:41:00,,problema_qr_fisico,2,en_proceso,,
TKT-FF49F0F37A,DEU-01263F6A,2025-10-08 12:14:00,,liquidacion_demora,3,abierto,,
TKT-8AFE7FC683,DEU-01263F6A,2025-11-18 07:04:00,,facturacion_comisiones,2,en_proceso,,
TKT-75B39702D8,DEU-012D2039,2025-10-20 16:07:00,2025-10-23 02:13:00,pago_rechazado,2,resuelto,58.1,1.0
TKT-B0A9776E39,DEU-012D2039,2025-10-22 14:50:00,2025-10-23 22:26:00,pago_rechazado,3,resuelto,31.6,1.0
TKT-21D45AA3AB,DEU-012D2039,2025-10-24 12:57:00,,pago_rechazado,3,escalado,,
TKT-E4E0492F57,DEU-012D2039,2025-10-25 12:04:00,2025-10-28 10:22:00,configuracion_qr,3,resuelto,70.3,1.0
TKT-5D23F616DE,DEU-012D2039,2025-10-28 14:29:00,2025-10-29 18:53:00,pago_rechazado,2,resuelto,28.4,3.0
TKT-F604DCC2A0,DEU-012D2039,2025-10-28 21:48:00,2025-11-01 18:54:00,liquidacion_demora,4,resuelto,93.1,1.0
TKT-B64BFF6F84,DEU-012D2039,2025-11-04 07:55:00,,pago_rechazado,3,abierto,,
TKT-D2C12BCE5B,DEU-012D2039,2025-11-08 13:22:00,,pago_rechazado,5,escalado,,
TKT-0F2531A99D,DEU-012D2039,2025-11-12 10:15:00,,configuracion_qr,2,abierto,,
TKT-832AB8206E,DEU-012D2039,2025-11-14 15:08:00,,liquidacion_demora,4,en_proceso,,
TKT-02F995ADC4,DEU-012D2039,2025-11-15 13:08:00,2025-11-17 20:26:00,liquidacion_demora,3,resuelto,55.3,
TKT-F7F60179AF,DEU-012D2039,2025-12-06 15:43:00,,pago_rechazado,3,abierto,,
TKT-08824DA146,DEU-012D2039,2025-12-07 11:26:00,2025-12-10 13:08:00,pago_rechazado,3,resuelto,73.7,2.0
TKT-634E5672AD,DEU-012D2039,2025-12-14 17:59:00,,roles_vendedor,2,en_proceso,,
TKT-4F1FBF8107,DEU-012D2039,2025-12-28 10:53:00,,pago_rechazado,3,abierto,,
TKT-FCD724FCE4,DEU-012D2039,2026-01-02 11:53:00,,app_congelada,4,en_proceso,,
TKT-588B716DF6,DEU-012D2039,2026-01-15 20:30:00,2026-01-17 19:30:00,app_congelada,3,resuelto,47.0,1.0
TKT-82137EF6F8,DEU-012D2039,2026-01-18 15:55:00,,liquidacion_demora,5,en_proceso,,
TKT-728FD82F7D,DEU-012D2039,2026-01-18 16:08:00,,pago_rechazado,4,escalado,,
TKT-8C617EBAF5,DEU-012D2039,2026-01-20 14:41:00,,cierre_caja,3,abierto,,
TKT-ED81947457,DEU-012D2039,2026-01-25 12:02:00,2026-01-29 18:38:00,app_congelada,5,resuelto,102.6,
TKT-6A2A87F619,DEU-012D2039,2026-02-04 20:49:00,2026-02-06 22:31:00,facturacion_comisiones,2,resuelto,49.7,2.0
TKT-E217CC7014,DEU-012D2039,2026-02-07 19:02:00,2026-02-13 05:56:00,pago_rechazado,2,resuelto,130.9,1.0
TKT-9FC55C1896,DEU-012D2039,2026-02-07 20:24:00,,cierre_caja,2,abierto,,
TKT-672FAEFB48,DEU-012D2039,2026-02-11 10:03:00,,pago_rechazado,3,abierto,,
TKT-69512F8D21,DEU-012D2039,2026-02-16 13:55:00,,pago_rechazado,3,en_proceso,,
TKT-C2F92CC175,DEU-012D2039,2026-02-28 21:37:00,,liquidacion_demora,1,abierto,,
TKT-A00ECBA7A5,DEU-014A03CC,2025-09-04 20:50:00,,app_congelada,3,en_proceso,,
TKT-3A3EFE1FC0,DEU-014A03CC,2025-11-01 16:53:00,,configuracion_qr,2,abierto,,
TKT-DF9E72FFBC,DEU-014A03CC,2026-01-17 14:44:00,,pago_rechazado,2,en_proceso,,
TKT-9B684AFA3E,DEU-014A03CC,2026-02-27 16:20:00,,pago_rechazado,2,abierto,,
TKT-C65E0EA1B6,DEU-01745164,2025-04-29 19:50:00,,roles_vendedor,2,escalado,,
TKT-C56CF27D0E,DEU-0185E13D,2025-09-09 16:25:00,,configuracion_qr,1,en_proceso,,
TKT-73A586D602,DEU-019569B1,2025-06-12 11:23:00,,pago_rechazado,2,escalado,,
TKT-4ECB4015D1,DEU-019569B1,2025-10-10 07:52:00,,consulta_general,2,abierto,,
TKT-E2E1B059BD,DEU-019569B1,2026-01-17 09:10:00,,pago_rechazado,3,abierto,,
TKT-1ACC4CCD90,DEU-01A8056E,2025-05-07 15:57:00,,app_congelada,3,escalado,,
TKT-0A20ED5C77,DEU-01CC6919,2025-07-10 07:14:00,,cierre_caja,3,en_proceso,,
TKT-DCCD5B906B,DEU-01CC6919,2025-08-23 10:21:00,,liquidacion_demora,3,abierto,,
TKT-84C88C82E3,DEU-01CC6919,2026-02-14 13:31:00,,consulta_general,3,en_proceso,,
TKT-932870A911,DEU-01D2EE1D,2025-04-08 07:56:00,,pago_rechazado,1,en_proceso,,
TKT-EEC11B3D59,DEU-01D2EE1D,2025-10-28 19:22:00,,configuracion_qr,2,en_proceso,,
TKT-06683864F7,DEU-01D2EE1D,2026-02-15 12:27:00,,facturacion_comisiones,2,abierto,,
TKT-60B4876043,DEU-01D6999C,2025-11-15 16:28:00,,pago_rechazado,4,escalado,,
TKT-647D2A65BF,DEU-01D6999C,2025-11-15 20:24:00,2025-11-17 07:36:00,roles_vendedor,1,resuelto,35.2,3.0
TKT-86F2FF2988,DEU-01D6999C,2025-12-04 12:12:00,,liquidacion_demora,3,abierto,,
TKT-F4164F6477,DEU-01D6999C,2025-12-16 10:57:00,2025-12-19 10:51:00,liquidacion_demora,3,resuelto,71.9,
TKT-67CA9B398F,DEU-01D6999C,2026-01-02 17:24:00,2026-01-04 07:18:00,app_congelada,3,resuelto,37.9,
TKT-62BAFE3C2C,DEU-01D6999C,2026-01-10 11:57:00,,pago_rechazado,3,abierto,,
TKT-BDA0865A9E,DEU-01D6999C,2026-01-12 15:43:00,2026-01-15 07:49:00,liquidacion_demora,4,resuelto,64.1,
TKT-0DCBA44458,DEU-01D6999C,2026-01-14 08:12:00,,app_congelada,3,abierto,,
TKT-45DE8F67B4,DEU-01D6999C,2026-01-22 13:05:00,,app_congelada,3,abierto,,
TKT-3C9621BC32,DEU-01D6999C,2026-01-24 18:09:00,,pago_rechazado,2,abierto,,
TKT-1E9BA4F40A,DEU-01D6999C,2026-02-08 09:19:00,2026-02-11 00:01:00,roles_vendedor,2,resuelto,62.7,
TKT-F13204F292,DEU-01D6999C,2026-02-09 15:46:00,,liquidacion_demora,4,abierto,,
TKT-8A94ECE00A,DEU-01D6999C,2026-02-10 09:49:00,,configuracion_qr,1,abierto,,
TKT-211752A235,DEU-01D6999C,2026-02-15 11:10:00,,liquidacion_demora,4,abierto,,
TKT-B25C03D277,DEU-01D6999C,2026-02-23 14:18:00,,cierre_caja,4,escalado,,
TKT-6B1088C1B2,DEU-01D6999C,2026-02-26 17:39:00,2026-02-27 17:21:00,liquidacion_demora,3,resuelto,23.7,1.0
TKT-6BAAFBACA9,DEU-01F00F33,2026-02-23 07:09:00,,facturacion_comisiones,4,en_proceso,,
TKT-5E1117AE72,DEU-01F00F33,2026-03-10 17:35:00,,consulta_general,3,en_proceso,,
TKT-9A5CBE8F29,DEU-01F00F33,2026-03-29 14:20:00,2026-03-30 22:20:00,cierre_caja,3,resuelto,32.0,3.0
TKT-3F068439A5,DEU-0203FA00,2025-10-13 10:54:00,2025-10-13 19:36:00,consulta_general,1,resuelto,8.7,4.0
TKT-0BBF5175C0,DEU-0203FA00,2025-10-14 07:27:00,,cierre_caja,3,abierto,,
TKT-7AC4324F66,DEU-0203FA00,2025-10-21 15:09:00,2025-10-23 08:27:00,facturacion_comisiones,3,resuelto,41.3,
TKT-D5C3F14D68,DEU-02230389,2025-07-07 09:07:00,,app_congelada,3,abierto,,
TKT-35A464C10E,DEU-02230389,2025-11-10 19:18:00,,roles_vendedor,4,escalado,,
TKT-EA616542AA,DEU-02230389,2026-02-09 07:03:00,,liquidacion_demora,3,en_proceso,,
TKT-40BD37BA74,DEU-0224A6C0,2025-11-12 13:50:00,2025-11-13 12:02:00,pago_rechazado,3,resuelto,22.2,2.0
TKT-665060DA20,DEU-0224A6C0,2025-11-17 13:35:00,,problema_qr_fisico,1,en_proceso,,
TKT-7FF621F1B4,DEU-0224A6C0,2025-11-18 16:10:00,2025-11-19 08:34:00,cierre_caja,3,resuelto,16.4,2.0
TKT-81E4222FCC,DEU-0224A6C0,2025-12-05 11:57:00,,pago_rechazado,3,abierto,,
TKT-E24422EF9E,DEU-0224A6C0,2025-12-19 18:43:00,,pago_rechazado,5,abierto,,
TKT-C216ADC9D0,DEU-0224A6C0,2025-12-21 09:14:00,,pago_rechazado,4,abierto,,
TKT-F47FCC2994,DEU-0224A6C0,2025-12-23 17:58:00,2026-01-04 04:16:00,pago_rechazado,5,resuelto,274.3,
TKT-6123AEB78C,DEU-0224A6C0,2025-12-25 18:44:00,2025-12-30 18:14:00,liquidacion_demora,4,resuelto,119.5,1.0
TKT-300B41F085,DEU-0224A6C0,2026-01-04 07:03:00,2026-01-18 12:21:00,app_congelada,3,resuelto,341.3,1.0
TKT-3ED1996D31,DEU-0224A6C0,2026-01-09 19:31:00,,facturacion_comisiones,4,abierto,,
TKT-B6D1ACBCFB,DEU-0224A6C0,2026-01-18 11:08:00,,app_congelada,3,en_proceso,,
TKT-2898EB1988,DEU-0224A6C0,2026-02-01 16:02:00,,pago_rechazado,5,en_proceso,,
TKT-3039D81122,DEU-0224A6C0,2026-02-13 13:25:00,,pago_rechazado,5,abierto,,
TKT-B0E4DCC64D,DEU-0224A6C0,2026-02-14 08:05:00,,app_congelada,3,en_proceso,,
TKT-44CBDDCEEE,DEU-0224A6C0,2026-02-14 13:47:00,2026-02-19 02:17:00,app_congelada,5,resuelto,108.5,1.0
TKT-970FABFB68,DEU-0224A6C0,2026-02-15 07:57:00,,pago_rechazado,5,abierto,,
TKT-F2E635ACCB,DEU-0224A6C0,2026-02-19 09:02:00,,pago_rechazado,4,en_proceso,,
TKT-CBB1C59953,DEU-0224A6C0,2026-02-22 13:33:00,2026-02-23 16:27:00,app_congelada,4,resuelto,26.9,
TKT-AB51F8C6DE,DEU-0224A6C0,2026-02-22 15:31:00,,pago_rechazado,4,escalado,,
TKT-85F1DF82DC,DEU-0224A6C0,2026-02-25 12:57:00,2026-03-03 03:51:00,pago_rechazado,4,resuelto,134.9,1.0
TKT-CA3E8B65D5,DEU-0224A6C0,2026-02-28 16:12:00,,app_congelada,3,en_proceso,,
TKT-5D2A200EA5,DEU-024CDCAD,2025-07-17 16:24:00,,configuracion_qr,2,en_proceso,,
TKT-0770CFAC4A,DEU-024CDCAD,2025-11-22 12:16:00,,pago_rechazado,3,abierto,,
TKT-DFE52C7A53,DEU-024CDCAD,2026-01-16 20:21:00,,liquidacion_demora,2,en_proceso,,
TKT-9BD4704EE5,DEU-02A16839,2025-05-12 17:56:00,,consulta_general,3,abierto,,
TKT-10EC03B6A2,DEU-02A16839,2025-11-03 07:56:00,,app_congelada,2,en_proceso,,
TKT-FC311D90D1,DEU-02A16839,2026-03-29 11:11:00,,app_congelada,2,abierto,,
TKT-6BCED06AD4,DEU-02ED4E45,2026-02-15 11:27:00,,configuracion_qr,2,abierto,,
TKT-2E769A30D0,DEU-033A916E,2025-05-06 20:36:00,,liquidacion_demora,3,en_proceso,,
TKT-68499C16D4,DEU-033A916E,2025-08-06 09:07:00,,app_congelada,3,en_proceso,,
TKT-55416620F1,DEU-033A916E,2026-01-16 15:52:00,,pago_rechazado,4,escalado,,
TKT-EEAF4591CC,DEU-0340DFBB,2025-04-19 10:01:00,,roles_vendedor,3,abierto,,
TKT-E0E848A76A,DEU-0340DFBB,2025-06-22 19:00:00,,consulta_general,3,escalado,,
TKT-3E8C19C73C,DEU-0340DFBB,2025-11-29 20:21:00,,pago_rechazado,3,abierto,,
TKT-E16A6C8506,DEU-03561335,2025-05-28 08:22:00,,cierre_caja,3,abierto,,
TKT-C898FB9BB2,DEU-03561335,2025-11-10 13:41:00,,app_congelada,2,abierto,,
TKT-3D218EA861,DEU-03561335,2025-11-19 13:20:00,2025-11-22 20:50:00,pago_rechazado,4,resuelto,79.5,3.0
TKT-A14419BA73,DEU-035CFE0D,2025-10-28 08:05:00,,app_congelada,3,en_proceso,,
TKT-CEE959816B,DEU-035CFE0D,2025-12-24 21:25:00,,configuracion_qr,3,abierto,,
TKT-898FD0C53B,DEU-038659A2,2025-05-05 10:50:00,,app_congelada,4,abierto,,
TKT-D4107A3A57,DEU-038659A2,2025-12-01 18:51:00,,app_congelada,3,en_proceso,,
TKT-855E18A870,DEU-0391BC47,2025-05-03 21:42:00,,cierre_caja,2,escalado,,
TKT-BD6CA17561,DEU-0391BC47,2026-03-26 21:08:00,,app_congelada,3,abierto,,
TKT-6A93D5B3F9,DEU-03F8E9FF,2025-07-15 13:09:00,,liquidacion_demora,2,abierto,,
TKT-4CE00BE202,DEU-03F8E9FF,2025-10-25 16:11:00,,app_congelada,2,en_proceso,,
TKT-0805FD5CB6,DEU-03F8E9FF,2025-11-09 18:47:00,,configuracion_qr,2,abierto,,
TKT-447AB2AD86,DEU-04062486,2025-11-08 14:33:00,2025-11-09 12:45:00,pago_rechazado,3,resuelto,22.2,2.0
TKT-A3BFC40AF3,DEU-04062486,2025-11-17 09:13:00,2025-11-19 05:01:00,roles_vendedor,3,resuelto,43.8,2.0
TKT-37F70CEDFB,DEU-04062486,2025-11-28 11:11:00,,cierre_caja,4,en_proceso,,
TKT-3473D614CD,DEU-04062486,2025-12-01 21:15:00,,pago_rechazado,5,en_proceso,,
TKT-98E08F1F2B,DEU-04062486,2025-12-07 21:11:00,2025-12-12 00:05:00,pago_rechazado,5,resuelto,98.9,
TKT-B7545E2E5A,DEU-04062486,2025-12-11 10:28:00,,pago_rechazado,5,escalado,,
TKT-C7376F7E51,DEU-04062486,2025-12-15 18:46:00,2025-12-17 02:22:00,facturacion_comisiones,4,resuelto,31.6,
TKT-E85242D62E,DEU-04062486,2025-12-16 07:02:00,,app_congelada,3,abierto,,
TKT-A2CF110A7F,DEU-04062486,2025-12-20 09:50:00,,pago_rechazado,5,en_proceso,,
TKT-B42C7A1E06,DEU-04062486,2025-12-21 13:38:00,,facturacion_comisiones,5,abierto,,
TKT-DE321B07BA,DEU-04062486,2025-12-23 09:38:00,2025-12-25 21:20:00,app_congelada,4,resuelto,59.7,2.0
TKT-E9379FEDF4,DEU-04062486,2025-12-26 18:56:00,,liquidacion_demora,5,en_proceso,,
TKT-0C5674CBA8,DEU-04062486,2026-01-17 21:33:00,,liquidacion_demora,5,abierto,,
TKT-8B36AEC37A,DEU-04062486,2026-01-21 13:37:00,,problema_qr_fisico,3,en_proceso,,
TKT-6A7F377DA4,DEU-04062486,2026-01-29 18:12:00,,liquidacion_demora,5,en_proceso,,
TKT-40816E3B50,DEU-04062486,2026-02-02 16:54:00,,pago_rechazado,5,abierto,,
TKT-34A252E31A,DEU-04062486,2026-02-04 11:29:00,,cierre_caja,4,en_proceso,,
TKT-9F68E222EB,DEU-04062486,2026-02-06 09:38:00,,facturacion_comisiones,4,abierto,,
TKT-23533CA6EB,DEU-04062486,2026-02-07 21:14:00,2026-02-13 03:50:00,liquidacion_demora,5,resuelto,126.6,1.0
TKT-3A025C7317,DEU-04062486,2026-02-07 21:57:00,2026-02-22 14:27:00,problema_qr_fisico,3,resuelto,352.5,
TKT-2CCBB500FC,DEU-04062486,2026-02-12 08:39:00,,pago_rechazado,5,abierto,,
TKT-72360965FD,DEU-04062486,2026-02-15 13:47:00,2026-02-20 03:23:00,liquidacion_demora,4,resuelto,109.6,
TKT-B3C14210C2,DEU-04062486,2026-02-17 21:14:00,2026-02-23 20:02:00,liquidacion_demora,5,resuelto,142.8,
TKT-BC2C7ED9D4,DEU-04062486,2026-02-23 15:20:00,,pago_rechazado,4,abierto,,
TKT-5E376CC10A,DEU-04062486,2026-02-25 18:41:00,2026-03-05 09:41:00,liquidacion_demora,5,resuelto,183.0,
TKT-E62AF57C9C,DEU-04062486,2026-02-27 20:54:00,,pago_rechazado,4,escalado,,
TKT-A7E9634850,DEU-04062486,2026-03-21 09:50:00,,app_congelada,4,en_proceso,,
TKT-9042B42A30,DEU-04124053,2025-07-11 10:37:00,,pago_rechazado,3,abierto,,
TKT-D2AAF7546E,DEU-04124053,2025-11-11 21:26:00,,pago_rechazado,4,en_proceso,,
TKT-0F8EBA7253,DEU-04124053,2026-03-08 21:08:00,,liquidacion_demora,3,abierto,,
TKT-9FB8A439D6,DEU-04124053,2026-03-13 10:06:00,2026-03-14 21:24:00,problema_qr_fisico,2,resuelto,35.3,4.0
TKT-2BF9A3F76A,DEU-04166906,2025-12-01 17:11:00,2025-12-03 18:41:00,problema_qr_fisico,2,resuelto,49.5,
TKT-D970C7C6F5,DEU-04166906,2025-12-03 07:43:00,,facturacion_comisiones,2,abierto,,
TKT-516DF86201,DEU-04166906,2025-12-06 12:49:00,,liquidacion_demora,3,en_proceso,,
TKT-20805407CC,DEU-04166906,2025-12-08 15:07:00,,pago_rechazado,2,en_proceso,,
TKT-9E88AB8454,DEU-04166906,2025-12-09 12:07:00,2025-12-13 11:43:00,app_congelada,3,resuelto,95.6,2.0
TKT-ECF23ACB34,DEU-04166906,2025-12-11 16:50:00,2025-12-13 19:50:00,pago_rechazado,1,resuelto,51.0,2.0
TKT-852F7AFD80,DEU-04166906,2025-12-15 15:31:00,2025-12-17 02:07:00,app_congelada,2,resuelto,34.6,2.0
TKT-7820D6803C,DEU-04166906,2025-12-16 17:33:00,,pago_rechazado,2,escalado,,
TKT-C620A0A352,DEU-04166906,2025-12-19 11:44:00,,liquidacion_demora,3,en_proceso,,
TKT-266BFB7862,DEU-04166906,2025-12-21 16:28:00,,pago_rechazado,2,en_proceso,,
TKT-9B5AEBFFF0,DEU-04166906,2025-12-23 11:39:00,2025-12-25 00:57:00,liquidacion_demora,2,resuelto,37.3,
TKT-116B5C7F9C,DEU-04166906,2025-12-24 09:10:00,,liquidacion_demora,4,abierto,,
TKT-9519F8E676,DEU-04166906,2025-12-25 19:13:00,,liquidacion_demora,2,en_proceso,,
TKT-F9B75CC5C5,DEU-04166906,2026-01-08 09:21:00,2026-01-12 02:33:00,facturacion_comisiones,3,resuelto,89.2,
TKT-AEB46D2F02,DEU-04166906,2026-01-08 10:48:00,,app_congelada,1,en_proceso,,
TKT-75E0416F89,DEU-04166906,2026-01-18 09:39:00,2026-01-22 14:03:00,facturacion_comisiones,3,resuelto,100.4,2.0
TKT-EF1ED7B27B,DEU-04166906,2026-01-20 11:24:00,,consulta_general,2,en_proceso,,
TKT-0E93AF55F6,DEU-04166906,2026-01-20 11:32:00,,facturacion_comisiones,3,en_proceso,,
TKT-3A1E9CB5DA,DEU-04166906,2026-01-20 16:45:00,2026-01-21 19:51:00,liquidacion_demora,3,resuelto,27.1,
TKT-215499BD48,DEU-04166906,2026-01-22 07:51:00,,app_congelada,2,abierto,,
TKT-655749C0B7,DEU-04166906,2026-01-23 18:46:00,2026-01-26 23:10:00,pago_rechazado,3,resuelto,76.4,
TKT-DDCAECBA45,DEU-04166906,2026-01-24 15:20:00,2026-02-04 13:20:00,app_congelada,3,resuelto,262.0,1.0
TKT-DD2E584C1B,DEU-04166906,2026-01-26 12:14:00,,pago_rechazado,2,abierto,,
TKT-2EB748DF42,DEU-04166906,2026-01-26 20:02:00,,pago_rechazado,4,escalado,,
TKT-57666486B6,DEU-04166906,2026-01-28 08:20:00,,cierre_caja,3,en_proceso,,
TKT-9E791A5F3A,DEU-04166906,2026-01-29 13:10:00,,pago_rechazado,3,en_proceso,,
TKT-EA28C9656B,DEU-04166906,2026-02-13 12:34:00,2026-02-18 12:34:00,pago_rechazado,1,resuelto,120.0,
TKT-4ED052376E,DEU-04166906,2026-02-14 12:34:00,,pago_rechazado,2,abierto,,
TKT-9BFF17BC50,DEU-04166906,2026-02-15 14:36:00,,app_congelada,1,en_proceso,,
TKT-6D199B2DE0,DEU-04166906,2026-02-17 20:46:00,2026-03-07 14:22:00,liquidacion_demora,3,resuelto,425.6,1.0
TKT-9DB966046A,DEU-04166906,2026-02-22 21:16:00,,liquidacion_demora,3,abierto,,
TKT-8883CF9895,DEU-04166906,2026-02-22 21:41:00,2026-03-02 15:11:00,pago_rechazado,2,resuelto,185.5,
TKT-79EF6FF0D3,DEU-04166906,2026-02-25 07:00:00,,pago_rechazado,2,en_proceso,,
TKT-B19AC9D9C7,DEU-0430ECE5,2025-08-21 14:32:00,,liquidacion_demora,3,abierto,,
TKT-B71C21C97C,DEU-0430ECE5,2026-01-08 11:11:00,,pago_rechazado,3,en_proceso,,
TKT-48D1AD3932,DEU-043AFCD7,2025-10-23 21:10:00,,app_congelada,2,abierto,,
TKT-10C0F0B687,DEU-043AFCD7,2025-12-17 14:15:00,,pago_rechazado,2,en_proceso,,
TKT-215D1AC2E3,DEU-043AFCD7,2026-01-13 15:13:00,,facturacion_comisiones,2,en_proceso,,
TKT-E81B6D1198,DEU-04A487CD,2025-09-16 16:06:00,,app_congelada,2,abierto,,
TKT-0B95E92D78,DEU-04A487CD,2025-10-14 18:14:00,,roles_vendedor,2,abierto,,
TKT-23F10896AD,DEU-04A487CD,2026-03-20 16:04:00,,app_congelada,2,en_proceso,,
TKT-D87C125037,DEU-04B91119,2025-12-04 16:35:00,2025-12-07 05:05:00,liquidacion_demora,5,resuelto,60.5,1.0
TKT-E48385292E,DEU-04B91119,2025-12-07 19:05:00,,app_congelada,3,abierto,,
TKT-E8DFDD4B97,DEU-04B91119,2025-12-26 18:58:00,2025-12-28 02:40:00,pago_rechazado,5,resuelto,31.7,
TKT-0AC00E2068,DEU-04B91119,2026-01-14 08:39:00,2026-01-20 07:45:00,pago_rechazado,4,resuelto,143.1,1.0
TKT-43D15280C9,DEU-04B91119,2026-01-17 07:12:00,,pago_rechazado,4,en_proceso,,
TKT-5FD51BBC9E,DEU-04B91119,2026-01-21 11:43:00,,app_congelada,4,escalado,,
TKT-18A83E4B5B,DEU-04B91119,2026-02-03 12:58:00,,pago_rechazado,4,abierto,,
TKT-9DAFAC3AB1,DEU-04B91119,2026-02-04 12:57:00,,liquidacion_demora,5,abierto,,
TKT-930087888D,DEU-04B91119,2026-02-04 14:18:00,,pago_rechazado,3,abierto,,
TKT-7879986CEE,DEU-04B91119,2026-02-05 14:44:00,,liquidacion_demora,5,escalado,,
TKT-B53453F8E3,DEU-04B91119,2026-02-20 20:37:00,,liquidacion_demora,5,escalado,,
TKT-990F09F700,DEU-04B91119,2026-02-28 15:34:00,2026-03-03 18:40:00,liquidacion_demora,4,resuelto,75.1,2.0
TKT-142A1B77E4,DEU-04B91119,2026-02-28 17:02:00,,app_congelada,3,en_proceso,,
TKT-52A3CF7E02,DEU-04B91119,2026-02-28 17:23:00,2026-03-03 15:29:00,facturacion_comisiones,5,resuelto,70.1,2.0
